"Sexo, cor ou raça, grupos de idade,
nível de instrução e classes de
rendimento mensal domiciliar  per capita";"Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, 
no período de referência de 365 dias (%)";"Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, 
no período de referência de 365 dias (%)";"Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, 
no período de referência de 365 dias (%)";"Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, 
no período de referência de 365 dias (%)";"Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, 
no período de referência de 365 dias (%)";"Coeficientes de variação das estimativas de pessoas de 10 anos ou mais de idade que foram vítimas de agressão física, 
no período de referência de 365 dias (%)"
;Total;Motivo de não terem procurado a polícia em decorrência da última agressão física;Motivo de não terem procurado a polícia em decorrência da última agressão física.1;Motivo de não terem procurado a polícia em decorrência da última agressão física.2;Motivo de não terem procurado a polícia em decorrência da última agressão física.3;Motivo de não terem procurado a polícia em decorrência da última agressão física.4
Total (1)(2);2.68;8.1;5.52;5.94;4.14;4.88
Sexo;;;;;;
Homens;3.08;9.98;6.36;6.65;5.29;5.69
Mulheres;3.7;12.8;9.03;10.1;5.48;6.8
Cor ou raça;;;;;;
Branca;3.72;12.05;8.39;9.31;6.81;6.81
Preta ou parda;3.22;10.3;7.08;7.37;4.7;5.8
Preta;7.18;21.95;14.13;16.75;10.38;14.51
Parda;3.42;11.83;8.19;8.06;4.98;6.1
Grupos de idade;;;;;;
10 a 24 anos;3.64;11.81;7.47;9.4;5.59;6.19
25 a 34 anos;4.58;16.37;10.3;10.39;7.72;9.31
35 a 39 anos;7.65;29.32;20.45;17.68;11.76;14.21
40 a 49 anos;6.19;23.19;16.0;15.41;10.8;11.69
50 anos ou mais;6.23;18.16;15.19;15.13;11.25;12.52
Nível de instrução;;;;;;
Sem instrução;7.74;25.47;16.96;20.23;11.67;14.73
Fundamental incompleto ou equivalente;3.35;12.7;7.28;8.83;5.37;6.15
Fundamental completo ou equivalente;6.6;21.82;15.4;16.36;10.46;12.89
Médio incompleto ou equivalente;7.32;26.09;16.15;18.56;11.86;16.21
Médio completo ou equivalente;5.68;19.21;12.63;12.04;9.51;11.68
Superior incompleto ou equivalente;11.98;35.9;30.97;25.65;24.07;22.99
Superior completo ou equivalente;11.05;36.86;25.08;26.15;21.56;20.29
Classes de rendimento mensal domiciliar per capita;;;;;;
Total (3)(4);2.69;8.11;5.58;5.95;4.15;4.89
Sem rendimento a menos ;;;;;;
de 1/4 do salário mínimo (3)(5);6.66;22.84;13.33;16.1;9.34;12.02
1/4 a menos de 1/2 salário mínimo (3);5.11;15.99;12.06;13.21;7.8;8.98
1/2 a menos de 1 salário mínimo (3);4.53;16.33;9.22;10.79;7.55;7.96
1 a menos de 2 salários mínimos (3) ;5.08;16.53;11.59;12.98;9.02;8.93
2 salários mínimos ou mais (3) ;7.23;20.6;14.78;15.48;14.8;13.6
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
(1) Inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) Inclusive as pessoas com nível de instrução não determinado. (3) Ex-;;;;;;
