;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;1.4981380606116563;1.6164647887855998;3.9302556740369767;2.4380804558241236;3.829452122382712;6.3934916461530795
Situação do domicílio;;;;;;
Urbana;1.48;1.63;4.13;2.49;3.89;6.62
Rural;5.61;8.07;18.42;7.16;16.59;11.0
Grandes Regiões e Unidades da Federação;;;;;;
Norte;4.88;5.38;8.53;6.76;8.22;11.73
Rondônia;9.67;9.95;20.81;15.25;21.5;25.89
Acre;19.84;17.52;49.71;24.57;26.11;33.35
Amazonas;11.51;14.04;28.58;14.13;30.98;33.49
Roraima;12.66;14.72;39.54;17.65;40.52;97.03
Pará;7.3;8.15;11.62;9.59;11.4;15.35
Amapá;16.02;18.41;32.69;21.39;32.35;99.3
Tocantins;17.01;21.65;26.8;22.17;21.11;30.75
Nordeste;2.83;2.77;6.61;4.87;7.45;11.5
Maranhão;12.25;11.51;24.17;22.04;26.8;42.75
Piauí;15.42;17.77;56.2;18.55;36.37;35.28
Ceará;5.12;4.82;11.45;8.25;13.19;21.15
Rio Grande do Norte;9.41;9.15;20.95;15.72;27.8;36.44
Paraíba;9.21;10.81;21.12;14.23;36.67;37.71
Pernambuco;7.14;6.93;15.14;11.62;20.99;24.06
Alagoas;11.85;15.4;47.23;23.03;51.09;35.2
Sergipe;9.53;8.51;24.54;20.12;24.45;36.81
Bahia;5.84;5.71;11.53;9.35;11.97;23.0
Sudeste;2.63;2.82;7.9;4.3;7.17;13.37
Minas Gerais;5.46;6.06;16.35;7.44;11.86;17.73
Espírito Santo;9.79;9.68;30.99;19.03;29.82;56.1
Rio de Janeiro;4.63;5.08;14.24;7.9;13.94;31.6
São Paulo;3.84;4.03;11.66;6.56;11.03;23.32
Sul;3.39;3.88;8.99;5.29;7.41;14.23
Paraná;4.79;5.57;15.76;7.77;10.95;20.28
Santa Catarina;11.25;12.22;23.32;14.82;19.47;30.24
Rio Grande do Sul;4.63;5.66;11.48;7.84;9.69;23.15
Centro-Oeste;3.43;3.85;9.44;6.15;8.69;14.73
Mato Grosso do Sul;14.8;14.86;28.81;20.26;25.4;60.57
Mato Grosso;6.64;7.61;25.4;14.16;17.7;21.15
Goiás;5.18;6.06;13.17;8.45;13.46;22.89
