;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;1.45;1.59;1.71;1.93;1.81;3.32;1.89
Situação do domicílio;;;;;;;
Urbana;1.53;1.68;1.79;2.0;1.9;3.42;2.0
Rural;6.03;6.03;7.82;7.78;7.34;13.99;7.61
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;4.97;5.24;5.45;6.29;5.31;8.54;5.63
Rondônia;9.23;10.12;10.68;12.39;10.15;18.43;10.47
Acre;16.39;17.21;17.77;20.34;15.97;26.27;16.55
Amazonas;11.67;11.61;14.83;16.32;11.99;43.0;12.23
Roraima;11.46;14.77;13.36;23.88;11.01;31.35;11.56
Pará;7.69;8.05;8.29;10.12;8.06;12.22;8.54
Amapá;16.65;18.33;17.96;17.53;19.51;35.19;18.09
Tocantins;13.44;12.96;15.67;17.06;13.81;25.15;14.38
Nordeste;2.72;3.01;3.12;3.78;3.15;5.52;3.2
Maranhão;15.26;15.84;16.72;20.37;17.61;24.9;17.39
Piauí;14.58;15.54;18.33;20.07;14.37;30.27;13.7
Ceará;4.62;5.43;4.88;7.06;5.33;15.8;5.47
Rio Grande do Norte;7.33;8.56;8.37;11.29;8.65;19.14;8.78
Paraíba;9.75;13.6;10.47;14.63;9.72;27.31;10.7
Pernambuco;5.39;6.98;5.86;7.84;5.57;12.6;5.88
Alagoas;13.17;15.34;13.62;17.9;14.72;31.08;15.63
Sergipe;7.52;9.06;9.62;14.4;9.17;22.91;8.91
Bahia;5.27;5.8;6.09;8.55;5.45;7.23;6.08
Sudeste;2.53;2.81;2.98;3.21;3.21;6.19;3.39
Minas Gerais;4.66;5.54;5.33;5.55;6.02;11.09;6.27
Espírito Santo;8.94;11.16;10.66;13.23;9.95;18.84;11.03
Rio de Janeiro;4.48;4.9;5.55;5.21;6.52;11.12;7.06
São Paulo;3.77;4.13;4.42;4.61;5.0;10.42;5.24
Sul;3.32;3.47;4.29;3.7;5.1;9.57;5.97
Paraná;4.5;4.65;5.99;5.05;7.19;20.39;7.87
Santa Catarina;11.47;11.64;14.13;13.21;10.22;29.69;12.32
Rio Grande do Sul;4.74;4.87;6.51;4.92;9.3;11.29;12.38
Centro-Oeste;3.39;3.8;4.15;4.46;3.99;8.29;4.09
Mato Grosso do Sul;15.62;15.5;18.3;17.68;17.49;36.94;15.54
Mato Grosso;6.64;7.74;8.4;10.61;8.66;17.89;9.49
Goiás;5.08;5.66;6.46;6.53;5.8;11.9;5.96
Distrito Federal;5.54;6.26;6.74;7.48;6.79;13.68;7.31
