;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;0.0;5.28246635427118;2.6455792608975663;3.8115827707933083;1.8928330329682064;1.0797983370502462
Situação do domicílio;;;;;;
Urbana;0.0;6.73;2.67;3.9;1.9;1.04
Rural;0.0;6.08;15.25;17.14;11.79;8.25
Grandes Regiões e Unidades da Federação;;;;;;
Norte;0.0;16.27;7.54;9.24;4.23;2.51
Rondônia;0.0;20.56;26.73;15.07;10.19;7.72
Acre;0.0;24.95;24.68;26.25;16.93;7.09
Amazonas;0.0;49.17;17.48;29.99;11.27;8.84
Roraima;0.0;60.37;41.81;32.86;12.98;11.8
Pará;0.0;24.57;9.87;13.98;6.08;3.43
Amapá;0.0;82.73;42.53;30.74;16.94;7.69
Tocantins;0.0;24.7;20.44;30.81;13.57;7.91
Nordeste;0.0;8.5;5.37;7.03;3.45;2.08
Maranhão;0.0;33.26;26.18;28.55;14.39;11.46
Piauí;0.0;16.06;32.84;37.09;13.25;9.83
Ceará;0.0;16.61;8.44;10.75;5.5;3.29
Rio Grande do Norte;0.0;33.17;14.67;27.67;12.79;7.61
Paraíba;0.0;39.34;24.36;25.34;13.76;8.55
Pernambuco;0.0;19.51;13.35;17.78;8.79;4.94
Alagoas;0.0;32.43;39.8;38.36;20.81;12.5
Sergipe;0.0;40.82;19.89;26.07;11.47;7.63
Bahia;0.0;13.25;11.28;13.26;6.87;3.62
Sudeste;0.0;11.9;4.25;7.27;3.63;1.77
Minas Gerais;0.0;15.17;8.24;11.63;7.28;3.48
Espírito Santo;0.0;31.17;18.04;24.92;14.24;7.85
Rio de Janeiro;0.0;50.84;10.42;16.39;8.41;2.85
São Paulo;0.0;21.33;5.65;11.18;4.92;2.64
Sul;0.0;11.31;6.03;9.26;4.41;3.0
Paraná;0.0;18.98;9.01;15.47;7.12;4.26
Santa Catarina;0.0;23.19;15.85;19.03;12.43;10.91
Rio Grande do Sul;0.0;18.24;9.25;13.18;5.84;4.04
Centro-Oeste;0.0;12.32;7.37;9.15;4.79;2.75
Mato Grosso do Sul;0.0;34.82;19.61;32.06;14.76;8.7
Mato Grosso;0.0;24.29;18.35;32.98;12.39;7.38
Goiás;0.0;15.96;9.28;10.93;7.11;4.33
Distrito Federal;0.0;69.72;19.54;19.81;7.28;3.68
