;Unnamed: 1_level_0;Agrícola;Indústria;Construção;Comércio e Reparação;Serviços
               Brasil;1.4887847476565377;5.46035615587646;3.077028278745037;4.0061034777620055;2.45898077818719;1.826706001092794
Situação do domicílio;;;;;;
Urbana;1.58;6.88;3.13;4.12;2.52;1.89
Rural;6.0;7.34;17.54;19.05;13.76;10.76
Grandes Regiões e Unidades da Federação;;;;;;
Norte;4.77;16.68;9.51;11.01;6.17;5.19
Rondônia;10.38;24.7;26.13;20.48;12.29;13.23
Acre;19.25;27.63;34.31;30.22;30.71;17.82
Amazonas;11.19;49.04;21.66;34.23;17.11;12.1
Roraima;13.34;61.43;39.96;33.73;19.1;18.95
Pará;6.98;25.16;12.93;16.62;9.06;7.37
Amapá;19.01;87.04;46.32;37.57;25.0;20.21
Tocantins;16.33;16.83;30.55;36.82;16.2;21.67
Nordeste;2.79;9.29;6.21;7.3;4.66;3.15
Maranhão;13.44;38.44;27.8;29.9;19.88;16.48
Piauí;15.24;21.02;37.86;36.9;21.4;18.44
Ceará;5.0;17.69;11.32;10.65;7.3;5.35
Rio Grande do Norte;8.73;34.91;17.27;27.59;15.39;11.7
Paraíba;9.63;41.81;25.48;24.02;16.77;13.91
Pernambuco;6.27;18.41;16.09;18.64;12.1;7.33
Alagoas;13.18;34.87;44.53;39.85;28.76;15.33
Sergipe;9.34;47.01;18.56;25.82;12.16;8.76
Bahia;5.56;14.55;12.98;14.56;9.56;5.87
Sudeste;2.63;12.13;4.95;7.61;4.56;3.2
Minas Gerais;5.47;17.06;9.3;12.9;8.6;6.59
Espírito Santo;9.69;32.71;21.86;25.58;17.03;12.3
Rio de Janeiro;4.76;50.91;11.17;16.84;9.75;5.67
São Paulo;3.81;21.28;6.71;11.62;6.38;4.7
Sul;3.35;11.49;6.95;9.16;5.86;4.58
Paraná;4.83;18.92;10.38;15.0;8.86;6.85
Santa Catarina;10.97;20.04;18.0;20.17;20.0;16.64
Rio Grande do Sul;4.56;19.94;10.74;13.02;7.14;5.55
Centro-Oeste;3.5;12.32;8.44;9.96;6.07;4.39
Mato Grosso do Sul;14.93;33.93;23.66;42.64;18.6;16.82
Mato Grosso;7.03;22.92;18.7;33.87;16.34;9.86
Goiás;5.22;16.22;11.17;11.54;8.82;7.0
Distrito Federal;5.89;70.69;20.87;19.92;9.66;6.83
