;Total;Local de ocorrência do último roubo;Local de ocorrência do último roubo;Local de ocorrência do último roubo;Local de ocorrência do último roubo;Local de ocorrência do último roubo
;;"Própria residência
ou de terceiros";Estabelecimento comercial;Via pública;"Transporte
coletivo";Outro
Total (1)(2);0.0;3.03;3.67;0.72;3.98;6.53
Sexo;;;;;;
Homens;0.0;3.82;4.44;0.92;5.34;8.98
Mulheres;0.0;4.01;5.75;0.99;5.49;9.14
Cor ou raça;;;;;;
Branca;0.0;4.25;4.94;1.14;6.2;9.82
Preta ou parda;0.0;4.01;5.01;0.82;4.96;8.39
Preta;0.0;11.9;11.98;2.29;11.11;19.65
Parda;0.0;4.18;5.48;0.88;5.38;9.42
Grupos de idade;;;;;;
10 a 24 anos;0.0;7.12;7.81;0.86;7.17;8.58
25 a 34 anos;0.0;6.24;6.72;1.3;6.84;14.16
35 a 39 anos;0.0;8.49;9.07;2.35;11.05;21.29
40 a 49 anos;0.0;6.09;7.23;1.79;8.34;19.37
50 anos ou mais;0.0;4.62;6.79;2.11;9.11;15.55
Nível de instrução;;;;;;
Sem instrução;0.0;7.46;17.77;4.04;16.63;30.97
Fundamental incompleto ou equivalente;0.0;5.07;6.91;1.27;7.51;10.07
Fundamental completo ou equivalente;0.0;8.34;9.17;2.07;11.87;20.21
Médio incompleto ou equivalente;0.0;10.21;11.46;1.66;12.17;18.87
Médio completo ou equivalente;0.0;5.85;5.69;1.27;6.26;12.55
Superior incompleto ou equivalente;0.0;12.04;14.23;2.11;12.97;20.33
Superior completo ou equivalente;0.0;8.6;10.61;2.35;13.76;25.19
Classes de rendimento mensal domiciliar per capita;;;;;;
Total (3)(4);0.0;3.04;3.67;0.72;3.98;6.57
Sem rendimento a menos de 1/4 do salário mínimo (3) (5);0.0;9.71;16.94;2.21;14.21;24.83
1/4 a menos de 1/2 salário mínimo (3);0.0;7.33;11.3;1.63;11.29;16.58
1/2 a menos de 1 salário mínimo (3);0.0;5.67;7.66;1.22;6.92;11.8
1 a menos de 2 salários mínimos (3) ;0.0;5.88;6.31;1.34;6.89;12.32
2 salários mínimos ou mais (3) ;0.0;5.86;6.35;1.63;9.07;13.35
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
(1) Inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) Inclusive as pessoas com nível de instrução não determinado. (3) Ex-;;;;;;
