"Sexo, cor ou raça,
grupos de idade, nível de instrução 
e classes de rendimento
mensal domiciliar per capita";Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%);Coeficientes de variação das estimativas de distribuição das pessoas de 10 anos ou mais de idade que não procuraram a polícia em decorrência do último  roubo que foram vítimas, no período de referência de 365 dias (%)
;Total;Motivo de não terem procurado a polícia em decorrência do último roubo;Motivo de não terem procurado a polícia em decorrência do último roubo.1;Motivo de não terem procurado a polícia em decorrência do último roubo.2;Motivo de não terem procurado a polícia em decorrência do último roubo.3;Motivo de não terem procurado a polícia em decorrência do último roubo.4
Total (1)(2);1.77;4.64;3.14;2.69;3.27;4.89
Sexo;;;;;;
Homens;2.15;5.5;4.06;3.37;4.32;6.49
Mulheres;2.25;6.51;4.29;3.45;4.65;6.69
Cor ou raça;;;;;;
Branca;2.41;6.2;4.52;3.91;5.28;7.38
Preta ou Parda;2.21;6.32;3.93;3.37;4.01;6.13
Preta;4.52;12.45;9.74;7.3;9.64;13.34
Parda;2.34;6.94;4.17;3.55;4.27;6.85
Grupos de idade;;;;;;
10 a 24 anos;2.49;7.07;4.58;3.86;4.97;7.09
25 a 34 anos;3.12;9.49;5.9;4.61;6.42;9.86
35 a 39 anos;4.9;13.68;10.22;7.67;10.97;15.04
40 a 49 anos;3.75;10.77;7.71;6.05;8.41;13.54
50 anos ou mais;3.49;9.02;7.58;5.85;7.52;10.99
Nível de instrução;;;;;;
Sem instrução;5.99;14.06;14.54;10.48;11.67;18.54
Fundamental incompleto ou equivalente;2.86;6.97;5.35;4.72;5.59;8.66
Fundamental completo ou equivalente;4.31;12.65;8.62;6.91;8.8;14.06
Médio incompleto ou equivalente;3.97;12.44;7.69;6.06;8.04;12.87
Médio completo ou equivalente;2.78;8.7;5.24;4.27;6.12;8.67
Superior incompleto ou equivalente;5.63;15.92;10.25;8.98;13.79;17.73
Superior completo ou equivalente;5.6;18.23;11.27;8.18;14.39;15.07
Classes de rendimento mensal domiciliar per capita;;;;;;
Total (3)(4);1.77;4.66;3.15;2.71;3.27;4.9
Sem rendimento a menos de 1/4 do salário mínimo (3) (5);5.18;12.74;11.41;7.43;10.12;16.35
1/4 a menos de 1/2 salário mínimo (3);3.91;9.96;7.56;6.14;6.6;11.6
1/2 a menos de 1 salário mínimo (3);2.97;7.8;5.52;5.01;5.61;9.4
1 a menos de 2 salários mínimos (3) ;2.99;8.63;5.39;4.83;6.6;8.93
2 salários mínimos ou mais (3) ;3.76;9.62;6.77;5.76;9.23;10.27
Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2009.;;;;;;
(1) Inclusive as pessoas de cor ou raça amarela, indígena ou sem declaração. (2) Inclusive as pessoas com nível de instrução não determinado. (3) Ex-;;;;;;
