;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;0.0;0.87;1.03;1.22;1.14;3.41;1.29
Situação do domicílio;;;;;;;
Urbana;0.0;0.9;1.04;1.23;1.19;3.5;1.35
Rural;0.0;2.82;5.36;7.28;3.67;16.55;4.0
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.0;1.88;2.27;3.64;1.23;8.45;1.43
Rondônia;0.0;6.75;9.01;10.52;5.63;24.81;6.7
Acre;0.0;9.27;15.99;13.34;6.15;38.23;8.71
Amazonas;0.0;4.88;5.83;11.18;3.3;30.74;3.79
Roraima;0.0;9.04;12.64;27.12;9.3;35.17;10.3
Pará;0.0;2.45;2.81;4.6;1.47;10.61;1.67
Amapá;0.0;7.02;10.67;15.53;5.42;29.15;7.24
Tocantins;0.0;8.08;13.47;10.57;5.19;34.81;5.01
Nordeste;0.0;1.38;1.66;2.53;1.19;4.65;1.45
Maranhão;0.0;4.9;7.08;14.42;4.63;19.11;5.89
Piauí;0.0;7.16;6.97;16.35;5.65;36.29;5.7
Ceará;0.0;2.88;3.39;4.57;2.24;14.49;2.53
Rio Grande do Norte;0.0;5.03;5.63;7.39;5.25;17.46;6.1
Paraíba;0.0;6.96;8.46;6.14;5.6;24.86;6.29
Pernambuco;0.0;3.09;3.6;4.12;2.67;11.71;3.07
Alagoas;0.0;7.49;9.61;11.49;5.59;42.22;6.86
Sergipe;0.0;4.27;7.11;9.62;4.37;27.68;4.97
Bahia;0.0;2.63;2.95;6.61;1.9;5.6;2.56
Sudeste;0.0;1.69;1.9;1.68;2.65;7.11;3.0
Minas Gerais;0.0;3.16;3.81;4.54;3.7;11.78;4.36
Espírito Santo;0.0;7.16;7.22;8.98;6.61;18.68;8.68
Rio de Janeiro;0.0;2.96;3.26;3.2;5.08;12.67;5.9
São Paulo;0.0;2.55;2.86;2.13;4.39;12.61;4.89
Sul;0.0;2.14;3.01;1.45;6.21;12.11;7.27
Paraná;0.0;3.26;4.58;2.45;8.67;22.75;9.41
Santa Catarina;0.0;7.24;11.65;3.31;22.65;66.01;25.93
Rio Grande do Sul;0.0;2.96;4.03;1.81;8.97;14.11;11.32
Centro-Oeste;0.0;2.54;3.03;3.49;2.32;9.02;2.78
Mato Grosso do Sul;0.0;8.33;9.11;9.14;9.01;38.73;9.79
Mato Grosso;0.0;7.68;8.18;8.75;5.92;18.9;8.56
Goiás;0.0;3.9;4.92;5.36;3.49;15.54;3.88
Distrito Federal;0.0;3.65;4.48;6.51;3.71;13.06;4.38
