;Unnamed: 1_level_0;Economicamente ativas;Economicamente ativas;Economicamente ativas;"Não economicamente
 ativas"
;;Total;Condição de ocupação na semana de referência;Condição de ocupação na semana de referência.1;Unnamed: 5_level_1
               Brasil;1.43;1.5;1.55;3.47;2.38
Situação do domicílio;;;;;
Urbana;1.38;1.45;1.5;3.51;2.36
Rural;9.21;9.22;8.91;25.2;14.21
Grandes Regiões e Unidades da Federação;;;;;
Norte;3.76;4.12;4.17;6.95;4.83
Rondônia;10.57;11.05;11.52;33.31;16.67
Acre;12.37;13.92;14.32;37.29;25.6
Amazonas;8.9;8.87;9.45;17.04;14.31
Roraima;16.31;17.18;17.84;34.96;23.42
Pará;4.97;5.79;5.9;8.3;5.55
Amapá;19.02;16.05;17.82;23.41;27.67
Tocantins;14.61;17.65;17.74;34.58;24.8
Nordeste;2.72;2.73;2.94;5.01;4.28
Maranhão;16.35;15.73;17.48;24.64;21.69
Piauí;10.84;11.61;11.47;23.09;19.5
Ceará;3.75;3.93;4.24;9.09;6.41
Rio Grande do Norte;7.82;8.33;9.11;16.84;13.66
Paraíba;11.81;9.94;10.5;20.22;20.7
Pernambuco;5.04;6.13;6.1;10.61;6.61
Alagoas;9.17;9.63;11.33;28.45;15.94
Sergipe;7.34;10.39;12.02;18.14;11.0
Bahia;4.46;4.46;4.75;8.3;7.59
Sudeste;2.41;2.57;2.64;6.98;4.34
Minas Gerais;4.33;4.65;4.91;12.94;8.45
Espírito Santo;8.56;9.33;10.03;21.96;14.67
Rio de Janeiro;4.76;4.97;5.03;14.15;8.46
São Paulo;3.55;3.78;3.89;9.93;6.45
Sul;3.52;3.8;3.89;11.79;6.45
Paraná;5.39;5.72;5.69;17.14;10.31
Santa Catarina;14.73;15.97;16.34;58.55;24.59
Rio Grande do Sul;4.3;4.8;5.06;15.46;7.66
Centro-Oeste;3.94;4.22;4.25;10.33;6.73
Mato Grosso do Sul;13.19;14.03;13.76;28.6;18.1
Mato Grosso;9.47;10.1;10.24;30.76;18.93
Goiás;6.42;6.94;6.85;18.85;11.72
