;Total;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade;Grupos de idade
;;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 anos ou mais
               Brasil;1.64;4.62;2.77;2.59;2.24;2.34
Situação do domicílio;;;;;;
Urbana;1.76;4.82;2.88;2.66;2.4;2.52
Rural;4.97;15.9;11.02;10.15;7.13;6.74
Grandes Regiões e Unidades da Federação;;;;;;
Norte;4.25;10.41;7.23;6.74;5.8;5.56
Rondônia;9.38;22.45;15.01;14.67;10.59;13.96
Acre;10.25;29.34;31.16;11.98;10.46;13.71
Amazonas;11.62;31.51;16.61;14.11;16.31;15.34
Roraima;10.37;29.01;14.33;14.03;17.53;24.35
Pará;7.41;15.68;11.7;13.01;10.44;9.16
Amapá;13.63;37.61;27.73;19.78;22.27;20.88
Tocantins;11.59;29.31;24.98;13.44;13.53;12.9
Nordeste;3.93;10.08;5.96;5.7;4.49;5.02
Maranhão;18.22;32.23;26.62;22.82;19.06;18.81
Piauí;13.25;33.22;21.65;13.29;16.54;24.31
Ceará;7.06;18.27;12.04;14.14;6.67;9.74
Rio Grande do Norte;10.88;23.49;18.52;17.86;17.56;15.19
Paraíba;11.57;38.27;24.65;19.91;16.57;19.45
Pernambuco;6.01;20.56;9.31;9.24;9.43;9.18
Alagoas;11.04;99.14;19.05;17.35;19.23;20.52
Sergipe;9.41;23.59;12.05;19.31;13.06;18.33
Bahia;5.71;16.12;9.95;9.11;6.87;8.26
Sudeste;2.8;7.86;4.95;4.55;4.32;4.0
Minas Gerais;4.96;12.31;7.35;8.73;7.33;5.84
Espírito Santo;10.31;22.9;19.85;14.22;15.13;15.96
Rio de Janeiro;5.69;19.85;11.63;9.44;9.29;9.39
São Paulo;4.23;12.06;7.54;6.65;6.61;6.46
Sul;3.23;11.13;6.19;5.71;4.57;5.18
Paraná;4.69;20.44;10.78;7.75;7.23;8.66
Santa Catarina;7.64;20.85;13.19;13.92;11.43;11.57
Rio Grande do Sul;5.25;16.32;9.08;9.61;6.51;7.79
Centro-Oeste;3.18;10.42;5.42;5.21;4.96;5.4
Mato Grosso do Sul;7.28;19.7;12.31;11.82;12.45;12.71
Mato Grosso;7.15;22.43;11.89;12.28;9.54;12.81
Goiás;4.89;17.47;8.27;7.38;8.13;7.86
