;Unnamed: 1_level_0;Economicamente ativas;Economicamente ativas;Economicamente ativas;"Não economicamente
 ativas"
;;Total;Condição de ocupação na semana de referência;Condição de ocupação na semana de referência.1;Unnamed: 5_level_1
               Brasil;1.64;1.7;1.71;4.62;2.55
Situação do domicílio;;;;;
Urbana;1.76;1.84;1.84;4.73;2.66
Rural;4.97;5.3;5.32;22.67;8.5
Grandes Regiões e Unidades da Federação;;;;;
Norte;4.25;4.41;4.46;10.9;5.93
Rondônia;9.38;9.81;10.38;29.29;12.79
Acre;10.25;9.07;7.65;53.55;17.73
Amazonas;11.62;12.05;11.9;24.51;16.22
Roraima;10.37;10.93;10.82;33.4;17.08
Pará;7.41;7.68;7.81;17.91;10.15
Amapá;13.63;14.92;14.79;39.72;20.12
Tocantins;11.59;12.52;13.29;26.36;13.01
Nordeste;3.93;4.05;4.15;7.84;5.67
Maranhão;18.22;19.18;19.56;29.02;22.68
Piauí;13.25;11.85;12.2;58.19;21.67
Ceará;7.06;7.88;8.07;15.58;9.3
Rio Grande do Norte;10.88;12.23;12.06;23.21;14.99
Paraíba;11.57;12.31;11.91;31.9;17.16
Pernambuco;6.01;6.42;6.98;18.7;9.57
Alagoas;11.04;12.36;12.11;30.03;18.15
Sergipe;9.41;10.25;11.07;28.82;14.29
Bahia;5.71;5.97;5.93;14.44;8.58
Sudeste;2.8;2.95;2.91;8.63;4.28
Minas Gerais;4.96;5.14;5.11;13.79;7.25
Espírito Santo;10.31;11.0;11.57;27.09;16.2
Rio de Janeiro;5.69;6.42;6.68;20.64;8.66
São Paulo;4.23;4.4;4.3;12.85;6.77
Sul;3.23;3.37;3.47;11.67;5.8
Paraná;4.69;4.92;4.95;17.8;8.95
Santa Catarina;7.64;7.53;7.27;33.0;13.9
Rio Grande do Sul;5.25;5.67;6.14;17.36;8.99
Centro-Oeste;3.18;3.47;3.47;10.18;5.65
Mato Grosso do Sul;7.28;7.57;7.43;22.4;12.03
Mato Grosso;7.15;7.93;8.07;24.89;10.26
Goiás;4.89;5.36;5.32;16.03;10.02
