;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;unnamed: 1_level_1;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;0.0;3.84;1.55;2.81;3.5;1.75;3.89;3.34
situação do domicílio;;;;;;;;
urbana;0.0;4.31;1.67;2.93;3.6;1.75;3.91;3.31
rural;0.0;7.32;3.24;11.06;13.92;10.0;28.27;27.5
grandes regiões e unidades da federação;;;;;;;;
norte;0.0;9.09;3.12;6.91;7.79;3.86;10.43;8.43
rondônia;0.0;16.21;9.54;18.34;21.44;9.56;24.74;25.18
acre;0.0;22.91;13.09;15.5;19.74;9.57;19.07;25.56
amazonas;0.0;29.09;8.03;19.78;20.16;9.06;33.44;23.88
roraima;0.0;42.52;18.35;26.28;22.5;14.99;30.41;37.28
pará;0.0;14.55;4.7;11.66;12.58;6.94;23.07;12.56
amapá;0.0;37.52;12.72;19.63;28.03;10.1;29.72;34.91
tocantins;0.0;18.53;6.23;20.66;22.67;10.04;16.44;16.19
nordeste;0.0;5.99;3.09;5.68;6.13;3.36;8.03;7.54
maranhão;0.0;20.28;9.77;15.84;21.32;8.54;32.17;27.75
piauí;0.0;12.29;8.52;22.95;27.69;14.23;40.8;33.9
ceará;0.0;11.91;4.18;9.63;10.55;6.49;14.91;15.22
rio grande do norte;0.0;20.43;9.92;23.98;20.68;14.96;27.01;27.9
paraíba;0.0;27.96;16.95;28.96;28.38;16.19;30.0;28.5
pernambuco;0.0;14.56;6.59;16.29;18.07;9.23;16.72;16.25
alagoas;0.0;23.38;11.3;27.76;33.52;14.57;36.55;31.03
sergipe;0.0;21.48;10.82;16.94;22.63;22.67;27.12;28.06
bahia;0.0;12.89;5.02;10.67;10.33;6.02;15.63;12.08
sudeste;0.0;8.17;2.97;5.01;6.86;3.06;6.66;5.2
minas gerais;0.0;9.67;3.6;8.44;11.2;5.51;12.85;9.3
espírito santo;0.0;26.66;9.66;16.12;19.77;9.12;26.79;19.51
rio de janeiro;0.0;16.38;7.14;12.16;15.57;7.87;13.47;11.96
são paulo;0.0;16.49;5.22;7.59;10.67;4.34;9.61;7.19
sul;0.0;10.18;3.5;6.1;9.09;4.66;7.63;7.21
paraná;0.0;16.88;6.27;10.68;14.72;7.66;13.6;10.3
santa catarina;0.0;17.81;7.78;10.7;23.76;7.82;16.47;16.23
rio grande do sul;0.0;17.07;4.82;9.67;12.56;7.83;10.97;12.81
centro-oeste;0.0;9.54;3.2;6.98;6.59;4.29;9.93;7.33
mato grosso do sul;0.0;19.79;7.37;12.79;14.03;12.43;23.62;21.51
mato grosso;0.0;24.01;6.35;19.48;15.35;8.96;21.24;16.82
goiás;0.0;12.45;4.32;10.21;9.66;6.43;17.92;11.16
distrito federal;0.0;39.31;11.49;16.69;15.09;8.05;15.02;12.18
