;unnamed: 1_level_0;sem instrução;fundamental ou equivalente;fundamental ou equivalente;médio ou equivalente;médio ou equivalente;superior ou equivalente;superior ou equivalente
;unnamed: 1_level_1;unnamed: 2_level_1;incompleto;completo;incompleto;completo;incompleto;completo
               brasil;0.0;3.15;1.24;2.11;2.34;1.22;2.82;2.66
situação do domicílio;;;;;;;;
urbana;0.0;3.47;1.34;2.18;2.41;1.22;2.85;2.66
rural;0.0;7.02;3.1;9.37;10.62;8.05;18.41;20.1
grandes regiões e unidades da federação;;;;;;;;
norte;0.0;7.79;3.02;4.99;4.67;2.85;6.56;6.85
rondônia;0.0;17.28;7.8;16.57;16.39;8.92;17.23;22.01
acre;0.0;18.77;12.71;13.25;14.45;7.13;19.92;20.6
amazonas;0.0;23.15;6.46;12.62;15.81;6.97;22.01;19.69
roraima;0.0;34.77;13.52;16.05;19.75;10.22;32.73;39.3
pará;0.0;12.57;4.55;7.3;5.92;4.2;9.98;9.86
amapá;0.0;29.58;10.83;14.34;14.05;9.46;17.88;31.47
tocantins;0.0;16.1;6.37;15.58;17.68;9.03;14.62;13.4
nordeste;0.0;4.79;2.22;3.77;3.8;2.28;5.47;5.38
maranhão;0.0;16.57;8.27;12.79;17.51;9.13;26.86;24.31
piauí;0.0;12.25;7.61;19.61;19.96;10.66;25.08;23.41
ceará;0.0;10.63;3.25;5.9;5.53;4.32;9.84;9.48
rio grande do norte;0.0;12.29;8.21;14.42;16.24;8.64;19.74;24.17
paraíba;0.0;20.57;10.86;17.29;13.18;10.19;23.27;22.16
pernambuco;0.0;12.58;4.55;8.98;8.85;4.57;10.47;9.82
alagoas;0.0;17.43;7.6;20.36;19.68;13.94;29.4;24.35
sergipe;0.0;20.58;7.81;13.86;15.68;16.61;22.25;26.68
bahia;0.0;9.02;3.83;7.67;6.17;3.44;9.36;8.62
sudeste;0.0;6.67;2.4;3.83;4.82;2.11;4.69;4.06
minas gerais;0.0;8.57;3.37;6.96;8.09;4.03;8.31;7.56
espírito santo;0.0;22.9;7.94;12.27;14.54;7.94;21.42;19.4
rio de janeiro;0.0;14.28;5.13;8.01;9.6;4.29;8.78;8.14
são paulo;0.0;11.86;3.94;5.76;7.46;3.03;7.09;5.68
sul;0.0;9.23;3.13;4.97;6.73;3.37;5.96;6.11
paraná;0.0;14.97;5.48;8.68;10.64;5.34;10.51;8.78
santa catarina;0.0;16.79;7.76;10.31;20.15;7.8;16.25;15.35
rio grande do sul;0.0;15.25;4.14;6.9;9.22;5.11;7.83;9.88
centro-oeste;0.0;8.3;2.81;5.58;4.97;3.42;7.47;6.2
mato grosso do sul;0.0;17.9;6.72;11.84;12.08;10.12;18.29;18.56
mato grosso;0.0;20.21;6.21;14.81;11.96;7.68;16.9;14.24
goiás;0.0;10.97;4.17;8.59;7.82;5.52;13.41;9.44
distrito federal;0.0;33.07;6.61;11.05;8.89;5.4;11.0;10.62
