;Unnamed: 1_level_0;Economicamente ativas;Economicamente ativas;Economicamente ativas;"Não economicamente
 ativas"
;;Total;Condição de ocupação na semana de referência;Condição de ocupação na semana de referência.1;Unnamed: 5_level_1
               Brasil;0.0;0.42;0.5;2.72;1.35
Situação do domicílio;;;;;
Urbana;0.0;0.44;0.53;2.74;1.38
Rural;0.0;1.34;1.54;17.97;5.88
Grandes Regiões e Unidades da Federação;;;;;
Norte;0.0;0.86;1.17;6.04;2.61
Rondônia;0.0;2.19;2.91;24.07;7.18
Acre;0.0;3.7;5.61;35.77;11.04
Amazonas;0.0;2.48;3.17;12.05;7.29
Roraima;0.0;4.59;5.7;22.1;10.2
Pará;0.0;1.15;1.6;8.63;3.53
Amapá;0.0;4.32;6.11;20.06;10.86
Tocantins;0.0;2.44;2.79;19.86;9.41
Nordeste;0.0;0.79;0.95;4.18;2.38
Maranhão;0.0;3.34;3.72;17.02;8.46
Piauí;0.0;2.46;2.89;20.21;9.09
Ceará;0.0;1.38;1.76;7.96;4.46
Rio Grande do Norte;0.0;3.05;3.7;12.55;8.99
Paraíba;0.0;3.98;4.26;18.98;9.47
Pernambuco;0.0;1.62;2.34;10.17;4.37
Alagoas;0.0;3.6;4.63;20.65;8.6
Sergipe;0.0;2.39;3.61;16.46;6.05
Bahia;0.0;1.22;1.51;6.82;4.67
Sudeste;0.0;0.76;0.89;5.27;2.48
Minas Gerais;0.0;1.3;1.6;9.71;4.21
Espírito Santo;0.0;2.7;3.38;15.66;9.06
Rio de Janeiro;0.0;1.79;2.01;11.69;4.81
São Paulo;0.0;1.12;1.31;7.55;3.91
Sul;0.0;1.03;1.26;8.35;3.58
Paraná;0.0;1.46;1.74;13.13;5.32
Santa Catarina;0.0;2.68;2.83;29.83;9.84
Rio Grande do Sul;0.0;1.7;2.26;11.41;5.48
Centro-Oeste;0.0;1.03;1.16;6.68;3.68
Mato Grosso do Sul;0.0;2.48;2.94;16.69;8.3
Mato Grosso;0.0;2.2;2.49;17.44;7.16
Goiás;0.0;1.66;1.81;11.08;7.01
