;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;0.0;0.16;0.15;0.53;0.51;1.43;0.56
Situação do domicílio;;;;;;;
Urbana;0.0;0.17;0.16;0.59;0.61;1.44;0.67
Rural;0.0;0.32;0.35;2.32;1.48;4.9;1.57
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;0.0;0.42;0.41;1.88;0.6;4.78;0.7
Rondônia;0.0;1.34;1.32;2.71;1.45;6.75;1.62
Acre;0.0;1.76;1.73;5.3;1.86;10.43;2.21
Amazonas;0.0;1.06;1.03;5.34;1.38;16.67;1.4
Roraima;0.0;1.83;1.75;7.89;2.96;15.89;3.18
Pará;0.0;0.61;0.58;2.98;0.89;7.95;1.12
Amapá;0.0;2.04;2.04;8.54;2.85;20.16;3.02
Tocantins;0.0;0.92;0.96;5.25;1.71;11.72;2.07
Nordeste;0.0;0.3;0.28;1.66;0.66;2.66;0.74
Maranhão;0.0;1.31;1.25;8.18;2.51;13.94;2.95
Piauí;0.0;1.47;1.34;8.87;2.75;20.58;2.55
Ceará;0.0;0.7;0.64;3.13;1.36;8.89;1.59
Rio Grande do Norte;0.0;0.85;0.82;3.18;1.72;8.57;1.8
Paraíba;0.0;1.32;1.22;5.23;2.84;13.56;2.6
Pernambuco;0.0;0.6;0.54;2.68;1.5;6.34;1.54
Alagoas;0.0;1.2;1.08;8.59;3.19;14.27;3.53
Sergipe;0.0;1.07;0.99;6.77;2.69;11.52;2.52
Bahia;0.0;0.51;0.49;4.02;1.21;3.02;1.48
Sudeste;0.0;0.27;0.25;0.8;1.1;2.19;1.25
Minas Gerais;0.0;0.52;0.48;1.8;1.46;4.36;1.7
Espírito Santo;0.0;1.11;1.06;4.99;3.59;7.77;3.66
Rio de Janeiro;0.0;0.5;0.43;1.57;2.04;3.66;2.45
São Paulo;0.0;0.42;0.39;1.08;2.11;3.7;2.34
Sul;0.0;0.4;0.37;0.64;2.45;4.03;2.76
Paraná;0.0;0.66;0.61;1.26;3.25;7.58;3.5
Santa Catarina;0.0;0.7;0.69;1.5;9.35;12.68;10.72
Rio Grande do Sul;0.0;0.68;0.63;0.73;3.33;4.92;3.81
Centro-Oeste;0.0;0.48;0.45;1.85;1.28;3.43;1.37
Mato Grosso do Sul;0.0;1.12;1.08;3.68;3.66;11.28;3.65
Mato Grosso;0.0;1.06;1.06;6.09;3.62;6.49;4.21
Goiás;0.0;0.78;0.73;2.52;1.69;5.68;1.76
Distrito Federal;0.0;0.9;0.8;2.78;1.94;5.53;2.11
