;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;0.32;1.43;0.61;0.94;0.93;0.79;1.56;1.8
Situação do domicílio;;;;;;;;
Urbana;0.63;1.6;0.84;1.11;1.12;0.92;1.65;1.87
Rural;2.84;3.72;2.89;4.03;4.05;4.1;7.11;6.96
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;1.88;4.84;2.34;3.35;3.8;2.36;4.07;4.82
Rondônia;1.86;7.82;3.44;7.48;6.54;4.01;11.57;11.92
Acre;4.32;9.34;6.01;6.98;11.44;6.98;11.59;16.52
Amazonas;2.51;12.89;2.92;5.61;5.7;4.3;9.24;11.29
Roraima;3.04;10.93;5.58;10.9;11.28;8.04;14.88;19.86
Pará;4.0;8.46;4.54;6.43;7.42;4.69;6.66;8.94
Amapá;3.83;10.44;9.79;8.02;10.74;9.15;15.42;18.56
Tocantins;2.62;8.45;4.96;5.93;7.26;4.19;10.97;8.93
Nordeste;0.63;2.33;1.2;2.04;1.9;2.17;3.49;3.97
Maranhão;2.41;8.36;6.15;9.75;8.45;12.9;16.08;20.88
Piauí;1.96;11.79;4.33;10.56;10.27;12.63;14.61;20.54
Ceará;0.97;4.45;2.37;3.19;2.79;3.83;7.7;9.15
Rio Grande do Norte;4.19;9.29;2.94;9.29;9.32;7.86;16.38;14.85
Paraíba;2.59;10.32;4.38;4.78;10.18;5.68;15.29;16.24
Pernambuco;1.34;4.11;2.59;3.84;4.24;3.33;6.09;7.48
Alagoas;3.17;5.41;5.57;6.35;7.15;8.32;17.87;16.79
Sergipe;3.16;9.67;2.9;6.29;9.2;8.61;13.84;15.43
Bahia;1.14;4.56;1.92;3.55;2.76;2.94;6.56;6.81
Sudeste;0.49;2.26;1.01;1.49;1.51;1.08;2.47;2.71
Minas Gerais;1.0;4.45;1.82;2.68;3.02;2.09;4.89;4.51
Espírito Santo;1.96;7.03;3.16;4.64;4.9;5.4;11.52;10.48
Rio de Janeiro;1.24;4.57;2.15;3.18;3.12;2.05;4.81;4.86
São Paulo;0.65;3.37;1.57;2.25;2.21;1.57;3.61;4.1
Sul;0.56;4.71;1.3;1.94;1.84;1.7;3.58;4.06
Paraná;0.93;7.43;2.16;3.42;3.34;2.31;5.38;6.72
Santa Catarina;1.41;8.09;3.88;4.37;3.17;4.48;9.21;9.76
Rio Grande do Sul;0.74;8.3;1.52;2.63;2.83;2.52;4.92;5.3
Centro-Oeste;0.86;3.56;1.55;2.45;2.37;1.91;3.74;4.45
Mato Grosso do Sul;1.65;4.92;4.54;4.65;6.61;4.85;10.41;11.61
Mato Grosso;2.52;9.03;3.38;7.23;5.12;4.83;9.29;11.68
Goiás;1.24;5.23;1.97;3.61;3.52;2.97;5.98;6.94
Distrito Federal;1.68;7.65;3.69;4.55;4.95;3.55;6.36;7.75
