;"Total
(1)";Sexo;Sexo;Cor ou raça;Cor ou raça;Cor ou raça;Cor ou raça
;;homens;mulheres;branca;preta/parda;preta;parda
               Brasil;0.69;0.73;0.72;0.96;1.07;2.1;1.15
Situação do domicílio;;;;;;;
Urbana;0.86;0.89;0.9;1.09;1.24;2.11;1.32
Rural;3.25;3.21;3.37;4.17;3.72;6.46;3.82
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;3.48;3.54;3.51;3.49;3.8;6.27;3.83
Rondônia;3.32;4.07;3.46;4.73;3.67;8.81;4.07
Acre;10.77;11.07;10.67;14.5;10.43;20.63;10.71
Amazonas;4.42;4.77;4.36;7.25;5.0;25.74;4.81
Roraima;4.76;5.33;5.18;8.96;5.49;17.6;5.8
Pará;8.71;8.65;8.94;8.33;9.02;12.07;9.06
Amapá;8.66;9.62;8.25;17.91;6.76;24.21;7.49
Tocantins;3.4;3.29;3.79;6.31;4.9;13.84;5.07
Nordeste;1.65;1.7;1.68;2.66;2.04;4.45;2.14
Maranhão;7.39;7.68;7.27;12.96;8.76;16.75;10.22
Piauí;5.9;6.01;6.08;9.45;7.51;31.82;6.69
Ceará;4.11;4.24;4.19;4.72;4.85;14.1;4.8
Rio Grande do Norte;9.23;8.71;9.87;11.56;8.31;12.34;8.76
Paraíba;5.59;5.89;5.54;6.9;6.87;12.05;6.91
Pernambuco;2.84;3.28;2.65;3.52;4.05;10.42;4.06
Alagoas;8.57;8.37;8.9;17.72;9.47;20.97;10.39
Sergipe;5.92;6.54;5.85;8.05;7.01;18.73;6.98
Bahia;2.74;2.78;2.87;5.96;3.61;5.9;3.71
Sudeste;0.95;1.01;1.04;1.47;1.49;3.03;1.64
Minas Gerais;1.89;2.0;2.01;3.2;2.17;5.6;2.25
Espírito Santo;4.04;3.85;4.98;8.8;5.23;12.22;5.72
Rio de Janeiro;2.34;2.38;2.51;3.73;3.16;5.64;3.4
São Paulo;1.3;1.41;1.45;1.89;2.74;4.96;3.11
Sul;1.39;1.51;1.45;1.75;3.22;5.09;3.6
Paraná;2.18;2.33;2.46;2.66;4.91;8.93;5.31
Santa Catarina;3.73;3.69;3.96;4.88;7.82;13.17;9.06
Rio Grande do Sul;1.69;2.14;1.54;1.84;5.0;7.01;5.62
Centro-Oeste;1.41;1.63;1.57;2.59;2.35;4.92;2.45
Mato Grosso do Sul;3.06;3.69;3.11;4.15;5.3;10.74;5.84
Mato Grosso;2.86;3.88;2.59;8.26;6.0;9.59;6.31
Goiás;2.19;2.32;2.75;3.79;3.32;8.23;3.44
Distrito Federal;3.77;3.9;4.0;5.02;4.34;9.38;4.45
