;Unnamed: 1_level_0;Menos de 1/4 ;1/4 a menos de 1/2 ;1/2 a menos de 1 ;1 a menos de 2;2 ou mais ;Sem rendimento (2)
               Brasil;0.44750773112983155;1.0969723350397664;0.8130412255414559;0.5897162675089105;0.5442845581038182;0.7190152511955815;2.21225301392511
Situação do domicílio;;;;;;;
Urbana;0.47;1.4;0.92;0.65;0.59;0.75;2.49
Rural;1.08;1.5;1.37;1.33;1.22;2.08;4.83
Grandes Regiões e Unidades da Federação;;;;;;;
Norte;2.64;4.24;3.79;2.76;2.34;2.49;10.63
Rondônia;2.06;5.44;3.54;2.98;2.57;3.77;11.81
Acre;5.21;9.27;5.24;6.18;6.8;4.6;12.99
Amazonas;3.11;5.91;4.42;4.01;4.03;4.5;13.49
Roraima;3.07;11.88;4.84;4.72;4.38;5.85;32.11
Pará;6.3;7.43;8.06;6.35;6.3;7.13;20.76
Amapá;7.49;11.13;8.02;10.41;8.66;6.95;5.72
Tocantins;3.22;6.5;5.94;2.57;3.96;2.92;18.84
Nordeste;0.99;1.49;1.32;1.18;1.29;2.04;3.52
Maranhão;3.55;5.93;6.03;3.44;3.68;7.98;6.26
Piauí;2.66;2.57;3.21;3.33;3.89;7.58;27.15
Ceará;1.77;3.16;2.75;2.42;3.0;3.53;9.01
Rio Grande do Norte;6.63;10.94;7.32;7.54;7.62;7.24;18.34
Paraíba;5.22;6.53;6.25;5.67;6.09;9.78;12.26
Pernambuco;1.77;2.95;2.11;2.5;2.41;5.3;8.37
Alagoas;4.71;4.62;5.71;7.34;6.78;10.17;11.14
Sergipe;4.32;7.13;6.41;4.62;5.3;6.2;29.39
Bahia;1.83;2.71;2.06;2.24;2.51;3.67;6.22
Sudeste;0.63;1.81;1.23;0.92;0.84;1.09;3.77
Minas Gerais;1.3;2.58;1.85;1.76;1.75;1.84;5.46
Espírito Santo;2.41;6.24;4.78;3.16;3.26;4.7;14.41
Rio de Janeiro;1.73;4.13;3.09;2.21;2.12;2.59;8.34
São Paulo;0.81;3.41;2.02;1.3;1.13;1.5;5.62
Sul;0.78;2.45;1.71;1.23;0.98;1.27;5.16
Paraná;1.31;4.58;2.67;2.22;2.0;2.18;9.06
Santa Catarina;1.8;4.6;4.92;2.35;1.85;2.43;9.02
Rio Grande do Sul;1.11;3.01;2.36;1.71;1.28;1.93;6.91
Centro-Oeste;1.13;3.57;2.13;1.59;1.64;1.64;5.32
Mato Grosso do Sul;2.09;6.73;3.9;3.0;3.0;3.36;8.99
Mato Grosso;2.44;7.42;4.17;3.09;3.94;5.23;10.23
Goiás;1.79;5.08;3.19;2.37;2.45;2.68;8.45
Distrito Federal;3.12;12.76;7.05;5.67;4.35;2.76;13.33
