;Unnamed: 1_level_0;10 a 15 anos;16 a 24 anos;25 a 34 anos;35 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
               Brasil;0.0;0.682530070842292;0.5141739672224311;0.5736013612216672;0.4382474278404368;0.735908355963914;0.9167050564388967;1.2001375357134318
Situação do domicílio;;;;;;;;
Urbana;0.0;0.74;0.56;0.62;0.48;0.79;1.03;1.33
Rural;0.0;1.38;1.25;1.44;1.15;1.92;2.18;2.46
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;0.0;1.56;1.35;1.83;1.36;2.58;2.97;4.31
Rondônia;0.0;4.19;3.11;3.92;2.12;5.04;7.29;10.38
Acre;0.0;6.31;4.25;4.03;4.12;6.63;8.31;12.58
Amazonas;0.0;2.67;2.97;3.14;2.61;4.25;6.61;7.65
Roraima;0.0;5.96;5.2;6.42;3.99;8.81;21.05;19.59
Pará;0.0;2.74;2.1;3.42;2.65;4.94;4.68;7.89
Amapá;0.0;8.14;5.44;7.26;4.59;8.82;11.76;18.56
Tocantins;0.0;4.06;5.18;4.48;2.6;8.17;8.25;7.9
Nordeste;0.0;1.24;0.86;1.07;0.81;1.4;1.63;1.98
Maranhão;0.0;5.18;3.31;4.28;3.9;5.91;6.36;5.92
Piauí;0.0;4.79;4.36;4.5;3.68;4.65;4.87;5.71
Ceará;0.0;2.33;1.85;2.34;1.74;2.91;3.75;4.37
Rio Grande do Norte;0.0;4.75;3.43;4.51;3.62;6.08;5.77;6.05
Paraíba;0.0;2.7;4.55;5.73;3.02;5.97;7.13;6.98
Pernambuco;0.0;2.87;1.75;1.58;1.42;2.67;2.8;4.94
Alagoas;0.0;4.39;3.39;5.08;2.56;4.6;6.4;8.31
Sergipe;0.0;3.46;3.03;2.91;2.47;4.48;7.79;8.45
Bahia;0.0;2.55;1.4;1.88;1.48;2.87;3.56;4.38
Sudeste;0.0;1.22;0.95;0.99;0.74;1.16;1.53;1.95
Minas Gerais;0.0;2.03;1.35;1.61;1.24;1.98;2.56;3.53
Espírito Santo;0.0;4.6;3.78;3.19;2.58;4.63;5.88;8.14
Rio de Janeiro;0.0;2.16;1.92;1.96;1.33;1.95;2.78;3.37
São Paulo;0.0;1.98;1.54;1.56;1.18;1.89;2.51;3.16
Sul;0.0;1.6;1.14;1.27;0.99;1.79;1.96;2.97
Paraná;0.0;2.6;2.07;1.81;1.63;3.17;3.39;5.41
Santa Catarina;0.0;3.82;2.11;2.66;2.03;3.17;3.8;7.76
Rio Grande do Sul;0.0;2.32;1.72;2.21;1.6;2.83;3.02;3.66
Centro-Oeste;0.0;1.91;1.39;1.34;1.19;1.93;2.87;3.95
Mato Grosso do Sul;0.0;3.94;3.08;3.1;2.58;4.03;7.0;6.43
Mato Grosso;0.0;4.94;3.19;3.02;3.28;4.88;7.17;12.28
Goiás;0.0;2.93;2.32;2.26;1.74;2.99;4.21;5.74
