;Unnamed: 1_level_0;Sem instrução;Fundamental ou equivalente;Fundamental ou equivalente;Médio ou equivalente;Médio ou equivalente;Superior ou equivalente;Superior ou equivalente
;;Unnamed: 2_level_1;Incompleto ;Completo ;Incompleto ;Completo ;Incompleto ;Completo 
               Brasil;0.0;1.58;0.58;1.12;1.1;0.99;1.99;2.08
Situação do domicílio;;;;;;;;
Urbana;0.0;1.73;0.64;1.16;1.16;0.87;2.01;2.07
Rural;0.0;2.51;0.83;2.95;3.03;3.15;7.36;6.56
Grandes Regiões e Unidades da Federação;;;;;;;;
Norte;0.0;4.5;1.45;3.08;3.51;2.85;6.21;4.84
Rondônia;0.0;8.15;2.85;7.05;7.14;4.27;11.31;13.0
Acre;0.0;9.75;6.94;8.59;14.09;7.17;13.57;19.68
Amazonas;0.0;12.26;2.26;7.6;5.85;4.44;13.11;9.44
Roraima;0.0;11.26;6.42;11.89;12.08;7.18;15.96;18.83
Pará;0.0;7.55;2.7;5.19;8.0;6.76;15.86;10.96
Amapá;0.0;12.72;7.84;10.94;10.02;11.68;19.04;17.19
Tocantins;0.0;7.32;3.34;7.77;5.01;4.88;12.05;9.29
Nordeste;0.0;2.3;1.15;2.87;2.31;2.92;4.72;4.94
Maranhão;0.0;9.76;6.4;15.94;9.97;18.68;21.38;24.05
Piauí;0.0;9.94;2.71;11.55;9.7;12.15;16.18;20.94
Ceará;0.0;5.18;2.01;4.23;3.98;6.32;15.02;12.46
Rio Grande do Norte;0.0;7.12;3.55;11.26;9.68;6.54;18.88;16.55
Paraíba;0.0;7.64;2.44;5.09;12.71;6.72;15.14;15.91
Pernambuco;0.0;4.0;2.41;5.0;5.77;4.71;8.68;8.73
Alagoas;0.0;7.19;4.14;8.31;7.71;9.59;21.11;18.71
Sergipe;0.0;9.52;2.19;5.55;10.28;5.67;11.55;16.42
Bahia;0.0;4.37;2.03;4.56;3.26;4.45;9.35;9.03
Sudeste;0.0;2.51;0.95;1.73;1.86;1.27;3.12;3.11
Minas Gerais;0.0;4.66;1.41;2.9;3.55;2.56;5.43;4.89
Espírito Santo;0.0;8.28;3.09;5.07;5.57;5.38;13.19;10.29
Rio de Janeiro;0.0;5.09;1.53;3.63;4.23;2.37;6.29;5.59
São Paulo;0.0;3.75;1.69;2.67;2.67;1.82;4.62;4.72
Sul;0.0;4.56;1.39;2.03;2.26;2.03;4.26;4.5
Paraná;0.0;6.96;2.25;3.97;4.53;2.81;7.08;7.8
Santa Catarina;0.0;7.28;4.23;3.9;3.98;4.18;9.44;9.55
Rio Grande do Sul;0.0;8.61;1.55;2.71;3.07;3.53;5.91;6.14
Centro-Oeste;0.0;4.0;1.42;2.69;2.47;1.9;4.21;4.89
Mato Grosso do Sul;0.0;5.78;4.47;5.27;6.83;5.28;12.0;13.09
Mato Grosso;0.0;10.04;2.35;7.76;4.59;3.72;9.08;14.99
Goiás;0.0;5.48;1.64;3.67;3.7;2.87;6.2;7.34
Distrito Federal;0.0;9.41;4.62;6.32;6.47;3.97;7.64;7.4
