;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.29319957112290895;0.3139290716240008;0.597989045112547;0.446201869586382;0.7407783807965811;0.6755225660949032
Situação do domicílio;;;;;;
Urbana;0.32;0.33;0.64;0.49;0.79;0.97
Rural;0.67;0.84;1.65;0.87;2.09;0.83
Grandes Regiões e Unidades da Federação;;;;;;
Norte;1.54;1.68;2.68;1.91;2.59;1.96
Rondônia;1.56;2.11;5.33;2.01;4.1;2.32
Acre;4.9;4.43;9.82;6.01;8.81;6.04
Amazonas;2.07;2.02;5.98;2.73;4.64;3.52
Roraima;2.66;3.02;6.44;3.67;9.35;4.73
Pará;3.41;3.94;5.38;3.56;4.65;4.24
Amapá;3.51;3.81;5.19;3.89;10.64;8.96
Tocantins;2.57;1.94;5.74;4.86;6.13;2.41
Nordeste;0.56;0.58;1.14;0.82;1.44;1.11
Maranhão;1.92;2.14;4.82;3.65;3.71;2.11
Piauí;1.9;2.17;4.28;2.45;5.85;2.49
Ceará;0.87;0.9;2.19;1.4;3.43;2.39
Rio Grande do Norte;4.1;3.95;7.44;4.67;7.46;6.87
Paraíba;2.41;2.03;3.82;2.7;5.7;7.25
Pernambuco;1.21;1.26;2.16;1.71;3.98;2.64
Alagoas;2.78;2.6;7.59;4.86;10.0;3.42
Sergipe;2.42;2.68;6.95;2.8;7.12;7.8
Bahia;1.07;1.18;1.82;1.41;2.11;2.34
Sudeste;0.47;0.51;0.95;0.75;1.27;1.37
Minas Gerais;0.99;1.15;1.61;1.29;1.89;1.87
Espírito Santo;1.92;2.18;3.92;2.43;5.1;3.27
Rio de Janeiro;1.16;1.12;2.05;1.8;2.33;3.0
São Paulo;0.64;0.68;1.44;1.11;2.15;2.83
Sul;0.56;0.58;1.28;0.9;1.45;1.35
Paraná;0.93;1.05;2.24;1.57;2.65;2.65
Santa Catarina;1.51;1.41;3.84;2.04;2.94;2.78
Rio Grande do Sul;0.66;0.66;1.46;1.31;2.02;1.62
Centro-Oeste;0.8;0.83;1.69;1.21;1.93;2.1
Mato Grosso do Sul;1.75;1.58;3.34;2.81;4.56;4.48
Mato Grosso;2.08;2.44;3.87;3.41;4.23;2.23
Goiás;1.25;1.32;2.82;1.6;3.01;3.81
