;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.4342777861675096;0.5586796071461111;1.3520748093600865;0.9742756104717689;2.0072727595854065;3.009612959885391
Situação do domicílio;;;;;;
Urbana;0.68;0.73;1.48;1.09;2.14;2.56
Rural;2.91;3.44;4.93;3.9;7.02;4.22
Grandes Regiões e Unidades da Federação;;;;;;
Norte;2.3;2.49;4.59;2.95;6.75;7.02
Rondônia;3.72;3.47;7.87;4.91;14.21;14.88
Acre;6.48;5.29;17.77;9.22;20.57;17.56
Amazonas;2.26;3.36;7.34;5.36;14.96;9.23
Roraima;3.91;7.21;21.38;9.36;25.06;20.98
Pará;4.99;5.62;9.55;5.03;11.35;14.24
Amapá;4.99;5.08;11.01;15.33;21.74;13.3
Tocantins;3.75;2.49;7.38;8.88;13.96;17.45
Nordeste;0.91;1.49;2.61;2.08;4.59;5.05
Maranhão;2.98;9.74;12.58;8.13;20.23;18.82
Piauí;3.18;4.8;11.3;5.2;18.35;13.19
Ceará;1.71;3.13;4.71;4.35;9.75;10.04
Rio Grande do Norte;6.21;6.37;9.34;7.1;16.39;19.37
Paraíba;2.49;2.55;7.73;6.47;16.7;12.02
Pernambuco;2.95;2.31;4.94;4.99;9.82;15.82
Alagoas;4.63;3.95;12.34;9.39;20.14;12.38
Sergipe;3.15;5.0;10.41;3.98;17.85;16.78
Bahia;1.46;2.65;5.24;4.3;7.74;10.27
Sudeste;0.64;0.73;2.17;1.47;3.15;5.07
Minas Gerais;1.17;1.32;3.08;2.28;4.81;7.03
Espírito Santo;3.03;3.2;7.82;5.88;14.18;19.49
Rio de Janeiro;1.42;1.6;4.33;2.76;5.96;12.07
São Paulo;0.95;1.06;3.57;2.46;5.21;7.64
Sul;0.89;1.37;3.2;2.15;4.31;7.41
Paraná;1.27;2.01;4.39;3.45;7.79;10.18
Santa Catarina;2.62;3.27;10.55;5.48;9.32;22.28
Rio Grande do Sul;1.09;2.12;4.56;3.05;5.92;9.78
Centro-Oeste;1.24;1.35;3.8;2.51;5.79;8.66
Mato Grosso do Sul;2.11;2.58;6.7;4.38;11.13;17.49
Mato Grosso;3.79;4.36;10.57;7.49;14.43;12.88
Goiás;1.82;1.84;5.67;3.59;9.4;15.37
