;Unnamed: 1_level_0;Empregados;Trabalhadores domésticos;Conta própria;Empregadores ;Outra
               Brasil;0.28174535526568933;0.45604420881085106;1.1917851129566706;0.785748530076483;1.7804403120891463;2.8412532435529045
Situação do domicílio;;;;;;
Urbana;0.58;0.64;1.32;0.94;1.91;2.41
Rural;2.81;3.37;4.96;3.67;6.43;4.14
Grandes Regiões e Unidades da Federação;;;;;;
Norte;1.09;1.38;3.51;2.06;5.75;6.58
Rondônia;2.66;2.58;8.21;4.64;12.58;14.33
Acre;2.49;3.26;12.96;5.37;21.5;12.8
Amazonas;1.56;2.55;7.06;4.01;13.44;7.5
Roraima;2.5;5.48;18.05;9.82;23.87;19.25
Pará;2.04;2.6;6.05;3.2;8.9;12.7
Amapá;5.16;4.22;11.44;15.28;17.21;14.51
Tocantins;1.84;2.9;9.2;5.85;15.55;15.46
Nordeste;0.66;1.29;2.42;1.61;4.07;4.8
Maranhão;2.57;8.63;11.0;5.29;18.52;17.71
Piauí;2.11;4.11;10.21;3.88;17.51;12.89
Ceará;1.27;2.79;4.25;3.37;8.32;9.48
Rio Grande do Norte;2.62;3.23;8.26;5.6;13.93;14.5
Paraíba;1.89;2.46;6.3;4.57;16.72;10.17
Pernambuco;2.06;1.94;4.95;4.5;8.06;14.29
Alagoas;3.27;3.13;9.94;5.85;19.07;12.69
Sergipe;1.71;3.11;9.05;2.68;16.27;17.57
Bahia;1.23;2.41;5.1;3.53;7.0;10.22
Sudeste;0.39;0.57;1.92;1.24;2.84;4.53
Minas Gerais;0.65;0.93;2.93;1.88;4.33;6.2
Espírito Santo;1.9;2.52;7.45;4.66;12.55;18.76
Rio de Janeiro;0.72;1.1;3.79;2.23;5.73;11.69
São Paulo;0.62;0.88;3.14;2.1;4.57;6.85
Sul;0.65;1.24;2.79;1.98;3.69;7.26
Paraná;0.89;1.7;3.75;3.01;6.69;9.69
Santa Catarina;1.94;3.04;8.84;5.6;7.67;23.01
Rio Grande do Sul;0.85;2.01;4.28;2.72;5.22;8.95
Centro-Oeste;0.78;0.98;3.24;2.11;5.45;8.12
Mato Grosso do Sul;1.56;2.13;5.84;4.61;9.61;15.4
Mato Grosso;2.16;2.76;8.77;5.51;13.79;11.65
Goiás;1.18;1.41;4.7;3.07;8.92;14.48
